AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-3011,Landscaping and Groundskeeping Workers,detailed,"47,710",2.7,"43,280",1.4,"31,000","34,380",43.28
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,320,21.3,"44,580",4.3,"28,850","28,860",44.58
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-3013,Tree Trimmers and Pruners,detailed,"3,480",29.2,"49,840",12.2,"30,460","31,200",49.84
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,37-3019,"Grounds Maintenance Workers, All Other",detailed,960,8.6,"38,310",1.3,"31,100","31,670",38.31
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,"192,750",1.8,"44,260",1.6,"29,100","31,150",44.26
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,110,12.2,"68,320",3.2,"49,460","50,860",68.32
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,"3,380",5.8,"56,950",2.1,"36,550","43,900",56.95
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-1022,First-Line Supervisors of Personal Service Workers,detailed,"7,520",7,"59,470",2,"36,570","44,820",59.47
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-2011,Animal Trainers,detailed,"1,400",19.7,"56,240",14.5,"31,520","36,780",56.24
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-2021,Animal Caretakers,detailed,"12,040",6.7,"36,910",2.1,"28,760","30,440",36.91
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3012,Gambling and Sports Book Writers and Runners,detailed,180,17.8,"46,180",5.1,"29,410","35,000",46.18
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3019,"Gambling Service Workers, All Other",detailed,110,26.5,"40,400",4.8,"29,100","32,860",40.4
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3021,Motion Picture Projectionists,detailed,60,40.4,"56,100",9.5,"36,270","36,270",56.1
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,"6,650",6.7,"37,360",2.5,"30,910","32,100",37.36
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3091,Amusement and Recreation Attendants,detailed,"11,470",5.6,"33,900",1.1,"28,150","30,010",33.9
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3092,Costume Attendants,detailed,"1,010",7.7,"63,780",3,"38,370","39,670",63.78
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,820,11.7,"36,080",2.6,"27,040","31,200",36.08
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,100,45.4,"42,030",7,"28,140","28,560",42.03
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-4012,Crematory Operators,detailed,130,49,"50,230",12.7,"47,300","47,300",50.23
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-4021,Funeral Attendants,detailed,"1,220",10.9,"44,810",3.3,"35,820","36,770",44.81
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,"1,180",11,"78,150",5.3,"48,120","57,640",78.15
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,"25,180",15.3,"43,370",4.2,"28,350","29,870",43.37
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-5091,"Makeup Artists, Theatrical and Performance",detailed,220,3.8,"134,380",1.9,"63,250","100,250",134.38
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-5092,Manicurists and Pedicurists,detailed,"23,620",5.1,"33,810",2.5,"29,990","30,680",33.81
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-5093,Shampooers,detailed,"1,430",19.2,"31,780",4.1,"28,780","29,130",31.78
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-5094,Skincare Specialists,detailed,"4,150",14.6,"65,330",17.9,"30,650","34,750",65.33
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-6011,Baggage Porters and Bellhops,detailed,"3,210",14.4,"45,530",5.3,"29,610","33,130",45.53
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-6012,Concierges,detailed,"6,610",11.2,"47,570",3.6,"31,030","34,320",47.57
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,detailed,"1,190",10.2,"44,710",2.9,"28,370","33,980",44.71
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-9011,Childcare Workers,detailed,"37,900",4.8,"35,670",1.1,"28,600","31,200",35.67
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,"17,570",4.7,"76,790",8.5,"31,970","36,520",76.79
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-9032,Recreation Workers,detailed,"15,920",5.9,"40,140",1.2,"28,910","31,540",40.14
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,39-9041,Residential Advisors,detailed,"3,700",12.1,"44,720",1.8,"31,820","36,540",44.72
